Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00       1/1           PsCourseworkI::AppArgs::AppArgs(int, char**) [116]
                0.00    0.00       1/1           PsCourseworkI::AppArgs::GetCfgFilename() const [133]
                0.00    0.00       1/1           PsCourseworkI::AppConfig::AppConfig(std::string const&) [124]
                0.00    0.00       1/1           PsCourseworkI::AppArgs::GetMapFilename() const [134]
                0.00    0.00       1/1           PsCourseworkI::BmpFile::BmpFile(std::string) [121]
                0.00    0.00       1/1           PsCourseworkI::BmpFile::GetArray() const [136]
                0.00    0.00       1/1           PsCourseworkI::LandscapePpmWriter::LandscapePpmWriter(PsCourseworkI::Landscape&) [113]
                0.00    0.00       1/1           PsCourseworkI::Landscape::~Landscape() [126]
                0.00    0.00       1/1           PsCourseworkI::BmpFile::~BmpFile() [122]
                0.00    0.00       1/1           PsCourseworkI::AppConfig::~AppConfig() [125]
                0.00    0.00       1/1           PsCourseworkI::AppArgs::~AppArgs() [117]
-----------------------------------------------
               59.65   56.11    1250/1250        main [1]
[2]     94.2   59.65   56.11    1250         PsCourseworkI::Landscape::Update() [2]
               21.42   15.15 4800000000/4806406416     PsCourseworkI::Array2D<PsCourseworkI::Cell>::operator()(unsigned int, unsigned int) [3]
                5.70    0.00 1600000000/1600001250     PsCourseworkI::AppConfig::Getdt() const [5]
                3.47    0.00 800000000/800000000     PsCourseworkI::AppConfig::Getb() const [8]
                2.72    0.00 800000000/800000000     PsCourseworkI::AppConfig::Getr() const [9]
                2.21    0.00 800000000/800000000     PsCourseworkI::AppConfig::Getl() const [10]
                2.02    0.00 800000000/800000000     PsCourseworkI::AppConfig::Geta() const [11]
                1.77    0.00 800000000/800000000     PsCourseworkI::AppConfig::Getm() const [13]
                1.66    0.00 800000000/800000000     PsCourseworkI::AppConfig::Getk() const [14]
-----------------------------------------------
                0.00    0.00    6416/4806406416     PsCourseworkI::Landscape::InitHalos() [36]
                0.01    0.00 1280000/4806406416     PsCourseworkI::Landscape::ApplyLandWaterMask(PsCourseworkI::Array2D<unsigned int> const&) [26]
                0.01    0.01 2560000/4806406416     PsCourseworkI::Landscape::ApplyRandomPumas() [25]
                0.01    0.01 2560000/4806406416     PsCourseworkI::Landscape::ApplyRandomHares() [20]
               21.42   15.15 4800000000/4806406416     PsCourseworkI::Landscape::Update() [2]
[3]     29.8   21.45   15.17 4806406416         PsCourseworkI::Array2D<PsCourseworkI::Cell>::operator()(unsigned int, unsigned int) [3]
               15.17    0.00 511439120/511439120     std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::operator[](unsigned long) [4]
-----------------------------------------------
               15.17    0.00 511439120/511439120     PsCourseworkI::Array2D<PsCourseworkI::Cell>::operator()(unsigned int, unsigned int) [3]
[4]     12.3   15.17    0.00 511439120         std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::operator[](unsigned long) [4]
-----------------------------------------------
                0.00    0.00    1250/1600001250     main [1]
                5.70    0.00 1600000000/1600001250     PsCourseworkI::Landscape::Update() [2]
[5]      4.6    5.70    0.00 1600001250         PsCourseworkI::AppConfig::Getdt() const [5]
-----------------------------------------------
                0.00    5.60       1/1           main [1]
[6]      4.6    0.00    5.60       1         PsCourseworkI::Landscape::Landscape(PsCourseworkI::AppConfig const&) [6]
                3.41    1.89       2/2           PsCourseworkI::Array2D<PsCourseworkI::Cell>::Array2D(PsCourseworkI::Size) [7]
                0.31    0.00       3/3           PsCourseworkI::AppConfig::GetNy() const [16]
                0.00    0.00       1/1           PsCourseworkI::Landscape::InitHalos() [36]
                0.00    0.00       3/3           PsCourseworkI::AppConfig::GetNx() const [62]
                0.00    0.00       3/18          PsCourseworkI::Size::Size(unsigned int, unsigned int) [47]
-----------------------------------------------
                3.41    1.89       2/2           PsCourseworkI::Landscape::Landscape(PsCourseworkI::AppConfig const&) [6]
[7]      4.3    3.41    1.89       2         PsCourseworkI::Array2D<PsCourseworkI::Cell>::Array2D(PsCourseworkI::Size) [7]
                1.85    0.04       2/2           std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::vector(unsigned long, PsCourseworkI::Cell const&, std::allocator<PsCourseworkI::Cell> const&) [12]
                0.00    0.00       2/2           PsCourseworkI::Cell::Cell() [67]
                0.00    0.00       2/2           std::allocator<PsCourseworkI::Cell>::allocator() [77]
                0.00    0.00       2/4           std::allocator<PsCourseworkI::Cell>::~allocator() [59]
-----------------------------------------------
                3.47    0.00 800000000/800000000     PsCourseworkI::Landscape::Update() [2]
[8]      2.8    3.47    0.00 800000000         PsCourseworkI::AppConfig::Getb() const [8]
-----------------------------------------------
                2.72    0.00 800000000/800000000     PsCourseworkI::Landscape::Update() [2]
[9]      2.2    2.72    0.00 800000000         PsCourseworkI::AppConfig::Getr() const [9]
-----------------------------------------------
                2.21    0.00 800000000/800000000     PsCourseworkI::Landscape::Update() [2]
[10]     1.8    2.21    0.00 800000000         PsCourseworkI::AppConfig::Getl() const [10]
-----------------------------------------------
                2.02    0.00 800000000/800000000     PsCourseworkI::Landscape::Update() [2]
[11]     1.6    2.02    0.00 800000000         PsCourseworkI::AppConfig::Geta() const [11]
-----------------------------------------------
                1.85    0.04       2/2           PsCourseworkI::Array2D<PsCourseworkI::Cell>::Array2D(PsCourseworkI::Size) [7]
[12]     1.5    1.85    0.04       2         std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::vector(unsigned long, PsCourseworkI::Cell const&, std::allocator<PsCourseworkI::Cell> const&) [12]
                0.00    0.04       2/2           std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::_M_fill_initialize(unsigned long, PsCourseworkI::Cell const&) [22]
