Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      8.32     0.00        1     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::~_Vector_base()
  0.00      8.32     0.00        1     0.00     0.00  void std::__uninitialized_fill_n<true>::uninitialized_fill_n<unsigned int*, unsigned long, unsigned int>(unsigned int*, unsigned long, unsigned int const&)
  0.00      8.32     0.00        1     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_M_fill_insert(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned long, unsigned int const&)
  0.00      8.32     0.00        1     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_M_erase_at_end(unsigned int*)
  0.00      8.32     0.00        1     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::end()
  0.00      8.32     0.00        1     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::begin()
  0.00      8.32     0.00        1     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::clear()
  0.00      8.32     0.00        1     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::insert(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned long, unsigned int const&)
  0.00      8.32     0.00        1     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::resize(unsigned long, unsigned int)
  0.00      8.32     0.00        1     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::vector()
  0.00      8.32     0.00        1     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::~vector()
  0.00      8.32     0.00        1     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<unsigned int>::__value, unsigned int*>::__type std::__fill_n_a<unsigned int*, unsigned long, unsigned int>(unsigned int*, unsigned long, unsigned int const&)
  0.00      8.32     0.00        1     0.00     0.00  void std::uninitialized_fill_n<unsigned int*, unsigned long, unsigned int>(unsigned int*, unsigned long, unsigned int const&)
  0.00      8.32     0.00        1     0.00     0.00  void std::__uninitialized_fill_n_a<unsigned int*, unsigned long, unsigned int, unsigned int>(unsigned int*, unsigned long, unsigned int const&, std::allocator<unsigned int>&)
  0.00      8.32     0.00        1     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      8.32     0.00        1     0.00     0.00  unsigned int* std::fill_n<unsigned int*, unsigned long, unsigned int>(unsigned int*, unsigned long, unsigned int const&)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.12% of 8.32 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00    8.32                 main [1]
                3.53    4.20    1250/1250        PsCourseworkI::Landscape::Update() [2]
                0.00    0.32       1/1           PsCourseworkI::Landscape::Landscape(PsCourseworkI::AppConfig const&) [5]
                0.25    0.00    1251/1251        PsCourseworkI::AppConfig::GetTT() const [8]
                0.02    0.00      25/25          PsCourseworkI::LandscapePpmWriter::Write(std::string const&) [17]
                0.00    0.00       1/1           PsCourseworkI::Landscape::ApplyRandomPumas() [19]
                0.00    0.00       1/1           PsCourseworkI::Landscape::ApplyRandomHares() [18]
                0.00    0.00       1/1           PsCourseworkI::Landscape::ApplyLandWaterMask(PsCourseworkI::Array2D<unsigned int> const&) [20]
                0.00    0.00    1250/100001250     PsCourseworkI::AppConfig::Getdt() const [10]
                0.00    0.00    1250/1250        PsCourseworkI::AppConfig::GetT() const [36]
                0.00    0.00      25/61          std::operator|(std::_Ios_Openmode, std::_Ios_Openmode) [38]
                0.00    0.00       1/1           PsCourseworkI::AppArgs::AppArgs(int, char**) [115]
                0.00    0.00       1/1           PsCourseworkI::AppArgs::GetCfgFilename() const [132]
                0.00    0.00       1/1           PsCourseworkI::AppConfig::AppConfig(std::string const&) [123]
                0.00    0.00       1/1           PsCourseworkI::AppArgs::GetMapFilename() const [133]
                0.00    0.00       1/1           PsCourseworkI::BmpFile::BmpFile(std::string) [120]
                0.00    0.00       1/1           PsCourseworkI::BmpFile::GetArray() const [135]
                0.00    0.00       1/1           PsCourseworkI::LandscapePpmWriter::LandscapePpmWriter(PsCourseworkI::Landscape&) [112]
                0.00    0.00       1/1           PsCourseworkI::Landscape::~Landscape() [125]
                0.00    0.00       1/1           PsCourseworkI::BmpFile::~BmpFile() [121]
                0.00    0.00       1/1           PsCourseworkI::AppConfig::~AppConfig() [124]
                0.00    0.00       1/1           PsCourseworkI::AppArgs::~AppArgs() [116]
-----------------------------------------------
                3.53    4.20    1250/1250        main [1]
[2]     92.9    3.53    4.20    1250         PsCourseworkI::Landscape::Update() [2]
                2.26    0.90 300000000/300401616     PsCourseworkI::Array2D<PsCourseworkI::Cell>::operator()(unsigned int, unsigned int) [3]
                0.28    0.00 50000000/50000000     PsCourseworkI::AppConfig::Getb() const [6]
                0.20    0.00 50000000/50000000     PsCourseworkI::AppConfig::Getr() const [9]
                0.17    0.00 50000000/50000000     PsCourseworkI::AppConfig::Geta() const [11]
                0.17    0.00 100000000/100001250     PsCourseworkI::AppConfig::Getdt() const [10]
                0.11    0.00 50000000/50000000     PsCourseworkI::AppConfig::Getl() const [12]
                0.06    0.00 50000000/50000000     PsCourseworkI::AppConfig::Getm() const [14]
                0.05    0.00 50000000/50000000     PsCourseworkI::AppConfig::Getk() const [15]
-----------------------------------------------
                0.00    0.00    1616/300401616     PsCourseworkI::Landscape::InitHalos() [21]
                0.00    0.00   80000/300401616     PsCourseworkI::Landscape::ApplyLandWaterMask(PsCourseworkI::Array2D<unsigned int> const&) [20]
                0.00    0.00  160000/300401616     PsCourseworkI::Landscape::ApplyRandomPumas() [19]
                0.00    0.00  160000/300401616     PsCourseworkI::Landscape::ApplyRandomHares() [18]
                2.26    0.90 300000000/300401616     PsCourseworkI::Landscape::Update() [2]
[3]     38.0    2.26    0.90 300401616         PsCourseworkI::Array2D<PsCourseworkI::Cell>::operator()(unsigned int, unsigned int) [3]
                0.90    0.00 300401616/300401616     std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::operator[](unsigned long) [4]
-----------------------------------------------
                0.90    0.00 300401616/300401616     PsCourseworkI::Array2D<PsCourseworkI::Cell>::operator()(unsigned int, unsigned int) [3]
[4]     10.8    0.90    0.00 300401616         std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::operator[](unsigned long) [4]
-----------------------------------------------
                0.00    0.32       1/1           main [1]
[5]      3.8    0.00    0.32       1         PsCourseworkI::Landscape::Landscape(PsCourseworkI::AppConfig const&) [5]
                0.20    0.08       2/2           PsCourseworkI::Array2D<PsCourseworkI::Cell>::Array2D(PsCourseworkI::Size) [7]
                0.04    0.00       3/3           PsCourseworkI::AppConfig::GetNy() const [16]
                0.00    0.00       1/1           PsCourseworkI::Landscape::InitHalos() [21]
                0.00    0.00       3/3           PsCourseworkI::AppConfig::GetNx() const [56]
                0.00    0.00       3/30          PsCourseworkI::Size::Size(unsigned int, unsigned int) [40]
-----------------------------------------------
                0.28    0.00 50000000/50000000     PsCourseworkI::Landscape::Update() [2]
[6]      3.4    0.28    0.00 50000000         PsCourseworkI::AppConfig::Getb() const [6]
-----------------------------------------------
                0.20    0.08       2/2           PsCourseworkI::Landscape::Landscape(PsCourseworkI::AppConfig const&) [5]
[7]      3.4    0.20    0.08       2         PsCourseworkI::Array2D<PsCourseworkI::Cell>::Array2D(PsCourseworkI::Size) [7]
                0.08    0.00       2/2           std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::vector(unsigned long, PsCourseworkI::Cell const&, std::allocator<PsCourseworkI::Cell> const&) [13]
                0.00    0.00       2/2           PsCourseworkI::Cell::Cell() [61]
                0.00    0.00       2/2           std::allocator<PsCourseworkI::Cell>::allocator() [71]
                0.00    0.00       2/4           std::allocator<PsCourseworkI::Cell>::~allocator() [53]
-----------------------------------------------
                0.25    0.00    1251/1251        main [1]
[8]      3.0    0.25    0.00    1251         PsCourseworkI::AppConfig::GetTT() const [8]
-----------------------------------------------
                0.20    0.00 50000000/50000000     PsCourseworkI::Landscape::Update() [2]
[9]      2.4    0.20    0.00 50000000         PsCourseworkI::AppConfig::Getr() const [9]
-----------------------------------------------
                0.00    0.00    1250/100001250     main [1]
                0.17    0.00 100000000/100001250     PsCourseworkI::Landscape::Update() [2]
[10]     2.0    0.17    0.00 100001250         PsCourseworkI::AppConfig::Getdt() const [10]
-----------------------------------------------
                0.17    0.00 50000000/50000000     PsCourseworkI::Landscape::Update() [2]
[11]     2.0    0.17    0.00 50000000         PsCourseworkI::AppConfig::Geta() const [11]
-----------------------------------------------
                0.11    0.00 50000000/50000000     PsCourseworkI::Landscape::Update() [2]
[12]     1.3    0.11    0.00 50000000         PsCourseworkI::AppConfig::Getl() const [12]
-----------------------------------------------
                0.08    0.00       2/2           PsCourseworkI::Array2D<PsCourseworkI::Cell>::Array2D(PsCourseworkI::Size) [7]
[13]     1.0    0.08    0.00       2         std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::vector(unsigned long, PsCourseworkI::Cell const&, std::allocator<PsCourseworkI::Cell> const&) [13]
                0.00    0.00       2/2           std::_Vector_base<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::_Vector_base(unsigned long, std::allocator<PsCourseworkI::Cell> const&) [79]
