Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.01% of 80.62 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00   80.61                 main [1]
               44.04   33.19    1250/1250        PsCourseworkI::Landscape::Update() [2]
                0.00    2.98       1/1           PsCourseworkI::Landscape::Landscape(PsCourseworkI::AppConfig const&) [5]
                0.13    0.17      13/13          PsCourseworkI::LandscapePpmWriter::Write(std::string const&) [8]
                0.04    0.02       1/1           PsCourseworkI::Landscape::ApplyRandomPumas(double) [10]
                0.00    0.02       1/1           PsCourseworkI::Landscape::ApplyLandWaterMask(PsCourseworkI::Array2D<unsigned int> const&) [17]
                0.00    0.02       1/1           PsCourseworkI::Landscape::ApplyRandomHares(double) [19]
                0.00    0.00      13/37          std::operator|(std::_Ios_Openmode, std::_Ios_Openmode) [35]
                0.00    0.00       1/1           PsCourseworkI::AppArgs::AppArgs(int, char**) [106]
                0.00    0.00       1/1           PsCourseworkI::AppArgs::GetCfgFilename() const [122]
                0.00    0.00       1/1           PsCourseworkI::AppConfigReader::AppConfigReader(std::string const&) [102]
                0.00    0.00       1/1           PsCourseworkI::AppConfigReader::GetConfig() const [121]
                0.00    0.00       1/1           PsCourseworkI::AppArgs::GetLwMaskFilename() const [123]
                0.00    0.00       1/1           PsCourseworkI::BmpFile::BmpFile(std::string) [111]
                0.00    0.00       1/1           PsCourseworkI::BmpFile::GetArray() const [125]
                0.00    0.00       1/1           PsCourseworkI::LandscapePpmWriter::LandscapePpmWriter(PsCourseworkI::Landscape&) [103]
                0.00    0.00       1/1           PsCourseworkI::Landscape::~Landscape() [114]
                0.00    0.00       1/1           PsCourseworkI::BmpFile::~BmpFile() [112]
                0.00    0.00       1/1           PsCourseworkI::AppArgs::~AppArgs() [107]
-----------------------------------------------
               44.04   33.19    1250/1250        main [1]
[2]     95.8   44.04   33.19    1250         PsCourseworkI::Landscape::Update() [2]
               20.31   12.89 4800000000/4806406416     PsCourseworkI::Array2D<PsCourseworkI::Cell>::operator()(unsigned int, unsigned int) [3]
-----------------------------------------------
                0.00    0.00    6416/4806406416     PsCourseworkI::Landscape::InitHalos() [25]
                0.01    0.00 1280000/4806406416     PsCourseworkI::Landscape::ApplyLandWaterMask(PsCourseworkI::Array2D<unsigned int> const&) [17]
                0.01    0.01 2560000/4806406416     PsCourseworkI::Landscape::ApplyRandomPumas(double) [10]
                0.01    0.01 2560000/4806406416     PsCourseworkI::Landscape::ApplyRandomHares(double) [19]
               20.31   12.89 4800000000/4806406416     PsCourseworkI::Landscape::Update() [2]
[3]     41.2   20.33   12.90 4806406416         PsCourseworkI::Array2D<PsCourseworkI::Cell>::operator()(unsigned int, unsigned int) [3]
               12.90    0.00 511439120/511439120     std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::operator[](unsigned long) [4]
-----------------------------------------------
               12.90    0.00 511439120/511439120     PsCourseworkI::Array2D<PsCourseworkI::Cell>::operator()(unsigned int, unsigned int) [3]
[4]     16.0   12.90    0.00 511439120         std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::operator[](unsigned long) [4]
-----------------------------------------------
                0.00    2.98       1/1           main [1]
[5]      3.7    0.00    2.98       1         PsCourseworkI::Landscape::Landscape(PsCourseworkI::AppConfig const&) [5]
                1.51    1.48       2/2           PsCourseworkI::Array2D<PsCourseworkI::Cell>::Array2D(PsCourseworkI::Size) [6]
                0.00    0.00       1/1           PsCourseworkI::Landscape::InitHalos() [25]
                0.00    0.00       3/18          PsCourseworkI::Size::Size(unsigned int, unsigned int) [36]
-----------------------------------------------
                1.51    1.48       2/2           PsCourseworkI::Landscape::Landscape(PsCourseworkI::AppConfig const&) [5]
[6]      3.7    1.51    1.48       2         PsCourseworkI::Array2D<PsCourseworkI::Cell>::Array2D(PsCourseworkI::Size) [6]
                1.45    0.03       2/2           std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::vector(unsigned long, PsCourseworkI::Cell const&, std::allocator<PsCourseworkI::Cell> const&) [7]
                0.00    0.00       2/2           std::allocator<PsCourseworkI::Cell>::allocator() [66]
                0.00    0.00       2/2           PsCourseworkI::Cell::Cell() [56]
                0.00    0.00       2/4           std::allocator<PsCourseworkI::Cell>::~allocator() [49]
-----------------------------------------------
                1.45    0.03       2/2           PsCourseworkI::Array2D<PsCourseworkI::Cell>::Array2D(PsCourseworkI::Size) [6]
[7]      1.8    1.45    0.03       2         std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::vector(unsigned long, PsCourseworkI::Cell const&, std::allocator<PsCourseworkI::Cell> const&) [7]
                0.00    0.03       2/2           std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::_M_fill_initialize(unsigned long, PsCourseworkI::Cell const&) [14]
