Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00       2/2           std::allocator<PsCourseworkI::Cell>::allocator() [68]
                0.00    0.00       2/2           PsCourseworkI::Cell::Cell() [58]
                0.00    0.00       2/4           std::allocator<PsCourseworkI::Cell>::~allocator() [51]
-----------------------------------------------
                1.67    0.02       2/2           PsCourseworkI::Array2D<PsCourseworkI::Cell>::Array2D(PsCourseworkI::Size) [6]
[7]      2.0    1.67    0.02       2         std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::vector(unsigned long, PsCourseworkI::Cell const&, std::allocator<PsCourseworkI::Cell> const&) [7]
                0.00    0.02       2/2           std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::_M_fill_initialize(unsigned long, PsCourseworkI::Cell const&) [18]
                0.00    0.00       2/2           std::_Vector_base<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::_Vector_base(unsigned long, std::allocator<PsCourseworkI::Cell> const&) [76]
-----------------------------------------------
                0.11    0.23      13/13          main [1]
[8]      0.4    0.11    0.23      13         PsCourseworkI::LandscapePpmWriter::Write(std::string const&) [8]
                0.12    0.00 8320000/8320000     PsCourseworkI::PpmFile::WritePixel(PsCourseworkI::Pixel const&) [9]
                0.02    0.07 8320000/8320000     PsCourseworkI::Array2D<PsCourseworkI::Cell>::operator()(unsigned int, unsigned int) const [10]
                0.02    0.00 8320000/8320000     PsCourseworkI::Pixel::Pixel(unsigned char, unsigned char, unsigned char) [15]
                0.01    0.00      13/13          PsCourseworkI::PpmFile::~PpmFile() [26]
                0.00    0.00      13/13          PsCourseworkI::Landscape::GetArray() const [43]
                0.00    0.00      13/15          PsCourseworkI::Array2D<PsCourseworkI::Cell>::GetSize() const [40]
                0.00    0.00      13/18          PsCourseworkI::Size::Size(unsigned int, unsigned int) [39]
                0.00    0.00      13/13          PsCourseworkI::PpmFile::PpmFile(std::string const&, PsCourseworkI::Size const&, unsigned int) [42]
                0.00    0.00      13/13          PsCourseworkI::PpmFile::Finalise() [41]
-----------------------------------------------
                0.12    0.00 8320000/8320000     PsCourseworkI::LandscapePpmWriter::Write(std::string const&) [8]
[9]      0.1    0.12    0.00 8320000         PsCourseworkI::PpmFile::WritePixel(PsCourseworkI::Pixel const&) [9]
